Depth,Resistivity,Gamma Ray,Total Porosity,Bulk Density,Actual Poisson Ratio(u),Actual Young Modulus(E),Predicted Poisson Ratio(u),Predicted Young Modulus(E)
6832.874898,0.034942546,0.256415961,0.369564616,0.695474707,0.283796611,5810883.119,0.278154395,5731250.038
6833.5,0.035023048,0.254895866,0.300763019,0.742116395,0.283505417,5869670.315,0.28276592,5803690.741
6834,0.038563077,0.251122798,0.26683458,0.77631235,0.283516248,5923000.314,0.285919882,5791678.793
6834.035268,0.038703027,0.251031947,0.26596719,0.775775973,0.28371587,5921939.607,0.286679505,5797751.75
6834.113832,0.039005023,0.250862886,0.263973569,0.774534223,0.284167461,5919416.75,0.285915435,5791471.124
6834.282261,0.03968315,0.250395682,0.259892542,0.772019513,0.2851139,5914511.06,0.286597785,5813429.972
6835.352766,0.040667125,0.263819065,0.211766362,0.774167778,0.29412036,5836003.592,0.275933216,5990361.966
6835.463232,0.040892981,0.265783349,0.207327054,0.781773542,0.295089274,5831364.522,0.284707388,5832182.288
6836.5,0.039702622,0.246465712,0.190310393,0.842280364,0.298032135,5832829.988,0.29437279,5834684.304
6837.5,0.042652969,0.224296065,0.191717905,0.806112022,0.293566362,5858221.872,0.291673208,5848050.362
6838.837279,0.041390711,0.23561084,0.217351632,0.821238227,0.295035479,5851472.628,0.293658548,5858393.511
6839.5,0.046785895,0.236962899,0.209941477,0.805351584,0.297589079,5795787.037,0.292544099,5883115.85
6839.689034,0.046132828,0.238171657,0.201255973,0.809335919,0.298236626,5788025.673,0.293400115,5898693.105
6840.5,0.04203718,0.245191131,0.183865472,0.83170552,0.301397225,5754662.78,0.287784146,5826912.263
6841.5,0.040875395,0.244084468,0.233202459,0.809391412,0.302046838,5709472.552,0.295302572,5844742.942
6842.166902,0.03649205,0.249237222,0.232906637,0.813881121,0.298627141,5738429.017,0.291487976,5824853.37
6843,0.03872916,0.264461274,0.201792725,0.837313752,0.293564212,5804823.955,0.292238117,5784571.462
6844.644769,0.036843708,0.255274209,0.198270786,0.787060549,0.285639177,5939347.226,0.286000602,5933679.666
6845.995165,0.038038882,0.249748362,0.242062217,0.754062274,0.287664584,5924114.987,0.28747596,5912551.224
6847,0.037184351,0.250183625,0.20268168,0.78377415,0.289021286,5879694.707,0.286184068,5912378.639
6847.5,0.03705068,0.246757113,0.194903326,0.796749127,0.286765152,5864106.609,0.285869735,5870231.531
6849.266883,0.038128546,0.240573798,0.164307023,0.862856025,0.285368393,5889143.277,0.285323811,5876079.937
6849.600503,0.037160698,0.243792957,0.178854642,0.858580447,0.286980443,5871461.205,0.286387452,5881830.15
6850,0.036801591,0.248717871,0.208682125,0.845488463,0.288994978,5838866.945,0.288720496,5842914.276
6851.170835,0.042020638,0.27392164,0.339341277,0.708386476,0.28632731,5629780.975,0.278503134,5426733.636
6852,0.047020302,0.308281775,0.348173939,0.680093154,0.271026642,5515453.698,0.261347965,5273202.334
6852.5,0.04230348,0.327725756,0.335802652,0.693685987,0.2602662,5464557.471,0.260895103,5441185.384
6852.697838,0.038338848,0.32761206,0.326354779,0.708992672,0.259348387,5463024.664,0.264238314,5474221.082
6854.978739,0.039489951,0.259080838,0.266591629,0.7035728,0.280348786,5858269.513,0.272992488,5623045.987
6855.105202,0.039941333,0.255971458,0.269091648,0.695649395,0.280544509,5881513.332,0.275806214,5579922.873
6856.406636,0.040962832,0.235478359,0.182741038,0.755575084,0.277596162,6137056.358,0.279254931,6069562.973
6856.414639,0.041006056,0.235571644,0.182545876,0.756219759,0.277551472,6138221.664,0.278987445,6061546.92
6857.057352,0.043435662,0.24439977,0.172716041,0.79900789,0.273953695,6222501.853,0.279141962,6099806.603
6858.273039,0.035707877,0.263083812,0.287893067,0.707842146,0.272382489,6171965.147,0.269049902,5855869.073
6858.5,0.035123836,0.263262438,0.320320024,0.688957011,0.27340523,6147002.648,0.273285299,5747639.943
6859,0.035413305,0.25685145,0.380546707,0.652218341,0.277777582,6061346.554,0.278178412,5902163.354
6861.612371,0.048637991,0.232781506,0.166790812,0.872051288,0.27970313,6087852.104,0.27809532,6044465.435
6861.642571,0.048773,0.233094162,0.167497778,0.87085564,0.27961723,6087406.917,0.279025985,6045034.999
6862.118559,0.049078724,0.23782201,0.181714238,0.850382667,0.278349468,6082809.036,0.280707922,5962636.93
6862.594547,0.044907997,0.241136907,0.206304689,0.82231759,0.277394618,6084186.347,0.282858492,6013166.924
6862.913805,0.044862234,0.241167628,0.225792651,0.7962344,0.276898436,6081547.61,0.28207853,6132955.652
6863.546523,0.04848865,0.240085465,0.243778347,0.755242798,0.276018156,6075807.605,0.276822698,6046934.313
6864.974487,0.040570589,0.262855995,0.210684532,0.779547862,0.274640972,6128860.551,0.275656629,6085762.527
6866.402451,0.040695253,0.254920363,0.304655626,0.770670393,0.274176664,6103968.163,0.285443866,5752840.142
6866.5,0.039261964,0.25560826,0.310393362,0.774435018,0.274210632,6103213.915,0.288650536,5770182.78
6866.878439,0.031805082,0.270861077,0.333830299,0.765190098,0.27451904,6067481.864,0.277601286,5851265.618
6866.945576,0.032101122,0.273350978,0.334640321,0.760646615,0.274582612,6056461.473,0.277350219,5859724.364
6867.354427,0.033903953,0.288514059,0.33957322,0.73297756,0.274969753,5989349.118,0.273718914,5677190.124
6867.468823,0.035354492,0.292630417,0.338996966,0.72353905,0.275083251,5967835.389,0.275428845,5619003.438
6867.5,0.035749818,0.293752277,0.338839914,0.720966707,0.275114184,5961972.103,0.27559462,5576170.174
6868,0.032229784,0.298258355,0.267575376,0.721941019,0.275878371,5877983.407,0.276280739,5595162.815
6868.306403,0.029741428,0.294131818,0.227808104,0.75086223,0.276083467,5847733.849,0.278196902,5727056.693
6868.770257,0.028497983,0.287373424,0.193232003,0.792782618,0.276217786,5810223.202,0.276909839,5798681.414
6870.04291,0.038638802,0.252320802,0.206195991,0.80330294,0.27697368,5746756.181,0.283418946,5789786.278
6871.373124,0.035057099,0.250808512,0.236995585,0.828947735,0.281656372,5842899.11,0.285008162,5831534.341
